deviceId,windowStart,windowEnd,durationSeconds
1eb38af5-d031-4f06-807f-73ddef6da513,2018-04-12T16:45:04.7530000Z,2018-04-12T16:54:11.7430000Z,547
1eb38af5-d031-4f06-807f-73ddef6da513,2018-04-12T16:59:02.9200000Z,2018-04-12T17:30:00.0000000Z,1858
1eb38af5-d031-4f06-807f-73ddef6da513,2018-04-12T17:32:30.0560000Z,2018-04-12T17:40:41.0230000Z,491
